question,item_in_question,question_type
いくらでユニバーサルグリルを手に入れられますか,0,0
ユニバーサルグリルの価格はいくらですか,0,0
ユニバーサルグリルを購入するには、いくら必要ですか,0,0
ユニバーサルグリルの値段はいくらくらいですか,0,0
ユニバーサルグリルの販売価格はいくらですか,0,0
ユニバーサルグリルを手に入れるのに、いくらの費用がかかりますか,0,0
ユニバーサルグリルはいくらぐらいですか,0,0
ユニバーサルグリルのお値段はいかがですか,0,0
ユニバーサルグリルを入手するには、いくら支払う必要がありますか,0,0
ユニバーサルグリルの価格はどの程度ですか,0,0
ユニバーサルグリルの質量はどの程度ですか,0,1
ユニバーサルグリルの重量はどのくらいですか,0,1
ユニバーサルグリルの重さを教えてください。,0,1
ユニバーサルグリルのマスはどのぐらいですか,0,1
ユニバーサルグリルの重さはどのくらいでしょうか,0,1
ユニバーサルグリルの質量を知りたいです。,0,1
ユニバーサルグリルの重さはどのぐらいなのか知りたいです。,0,1
ユニバーサルグリルのマスはどの程度ですか。教えてください。,0,1
ユニバーサルグリルの重量はどのぐらいでしょうか教えてください。,0,1
ユニバーサルグリルの質量はどのくらいですか。教えていただけますか,0,1
ガラリの長さはどのくらいですか,1,2
ガラリの長さを教えてください。,1,2
ガラリの長さはいかほどですか。,1,2
ガラリの全長は何メートルですか。,1,2
ガラリの長さはどの程度ですか。詳細をお知らせください。,1,2
ガラリの長さはおおよそ何センチですか,1,2
ガラリの長さは具体的にはどれぐらいですか,1,2
ガラリの長さを知りたいです。お答えいただけますか,1,2
ガラリの総長はどれくらいですか。詳細を教えてください。,1,2
ガラリの長さはいくらぐらいですか,1,2
ガラリの価格はいくらですか。,1,0
ガラリの値段を教えてください。,1,0
ガラリの価格はどのぐらいですか。,1,0
ガラリの販売価格はいかほどですか。,1,0
ガラリの価格はどの程度ですか。詳細をお知らせください。,1,0
ガラリの価格帯は何円からですか。,1,0
ガラリの価格は具体的にはいくらですか。,1,0
ガラリの値段を知りたいです。お答えいただけますか。,1,0
ガラリの販売価格はどれくらいですか。詳細を教えてください。,1,0
ガラリの価格はいくらぐらいですか。,1,0
吸込口はいくらですか。,2,0
吸込口の価格はいかほどでしょうか。,2,0
吸込口はいくらぐらいですか。,2,0
吸込口の販売価格はどの程度ですか。,2,0
吸込口の値段はどれぐらいですか。,2,0
吸込口はどのくらいのお値段になりますか。,2,0
吸込口はいくらで手に入りますか。,2,0
吸込口の料金はいかがでしょうか。,2,0
吸込口はどのくらいの値段ですか。,2,0
吸込口の価格帯はどのくらいですか。,2,0
吸込口の値段はおおよそどれくらいですか。,2,0
吸込口はいくらの費用がかかりますか。,2,0
吸込口の販売価格はどれぐらいですか。,2,0
吸込口を購入するには、いくらくらい必要ですか。,2,0
吸込口の価格はどれぐらいですか。,2,0
吸込口の値段はいかほどになりますか。,2,0
吸込口はどの程度の価格ですか。,2,0
吸込口の価格は具体的にはどれほどですか。,2,0
吸込口の販売価格はおおよそいくらですか。,2,0
吸込口はいくらで買えますか。,2,0
吸込口の長さはどれぐらいですか。,2,2
吸込口の長さを教えてください。,2,2
吸込口の長さはいかほどですか。,2,2
吸込口の全長は何センチですか。,2,2
吸込口の長さはどの程度ですか。,2,2
吸込口の長さはおおよそ何メートルですか。,2,2
吸込口の長さは具体的にはどれぐらいですか。,2,2
吸込口の全長を知りたいです。お答えいただけますか。,2,2
吸込口の長さはどのくらいですか。詳細を教えてください。,2,2
吸込口の長さはいくらぐらいですか。,2,2
吸込口の長さはいかがですか。,2,2
吸込口の長さを知りたいです。,2,2
吸込口の長さはどのくらいでしょうか。教えてください。,2,2
吸込口の全長はいくらですか。詳細をお聞かせください。,2,2
吸込口の長さはどのぐらいなのか教えてください。,2,2
吸込口の長さはいくらぐらいなのでしょうか。,2,2
吸込口の全長を教えていただけますか。詳細をお願いします。,2,2
吸込口の長さは具体的にはどの程度ですか。詳細をお知らせください。,2,2
吸込口の長さは何メートルぐらいですか。,2,2
吸込口の長さはどれぐらいですか。,2,2
シーリングディフューザーはいつ購入できますか。,3,3
シーリングディフューザーの販売時期はいつですか。,3,3
シーリングディフューザーの入荷予定はいつですか。,3,3
シーリングディフューザーの販売開始日はいつですか。,3,3
シーリングディフューザーはいつから手に入りますか。,3,3
シーリングディフューザーの入手可能な日時を教えてください。,3,3
シーリングディフューザーの発売予定日はいつですか。,3,3
シーリングディフューザーの販売開始はいつですか。,3,3
シーリングディフューザーの入手可能時期を知りたいです。,3,3
シーリングディフューザーの発売時期をお知らせください。,3,3
シーリングディフューザーの購入ができるのはいつですか。,3,3
シーリングディフューザーの入手可能日時を教えていただけますか。,3,3
シーリングディフューザーの購入開始日はいつですか。,3,3
シーリングディフューザーの販売が開始されるのはいつですか。,3,3
シーリングディフューザーを手に入れることができるのはいつですか。,3,3
シーリングディフューザーの購入可能時期をお知らせください。,3,3
シーリングディフューザーの販売開始予定はいつですか。,3,3
シーリングディフューザーの入手予定はいつですか。,3,3
シーリングディフューザーの販売開始時期を知りたいです。,3,3
シーリングディフューザーの発売日時を教えてください。,3,3
シーリングディフューザーの重さはいくらですか。,3,1
シーリングディフューザーの重量を教えてください。,3,1
シーリングディフューザーはどれぐらいの重さですか。,3,1
シーリングディフューザーの全体重量は何キログラムですか。,3,1
シーリングディフューザーの重さはどの程度ですか。詳細をお知らせください。,3,1
シーリングディフューザーの質量はおおよそ何グラムですか。,3,1
シーリングディフューザーの重さは具体的にはどれぐらいですか。,3,1
シーリングディフューザーの重量を知りたいです。お答えいただけますか。,3,1
シーリングディフューザーの全体重はどのくらいですか。,3,1
シーリングディフューザーの重さはいくらぐらいですか。,3,1
シーリングディフューザーの質量はいかがですか。,3,1
シーリングディフューザーの重さを知りたいです。,3,1
シーリングディフューザーの重さはどのくらいでしょうか。教えてください。,3,1
シーリングディフューザーの全体重はいくらですか。詳細をお聞かせください。,3,1
シーリングディフューザーの重さはどのぐらいなのか教えてください。,3,1
シーリングディフューザーの重さはいくらぐらいなのでしょうか。,3,1
シーリングディフューザーの全体重を教えていただけますか。詳細をお願いします。,3,1
シーリングディフューザーの質量は具体的にはどの程度ですか。詳細をお知らせください。,3,1
シーリングディフューザーの重さは何グラムぐらいですか。,3,1
シーリングディフューザーの重さはどれぐらいですか。,3,1
吹出口の納品はいつですか,4,3
吹出口の価格はいくらですか,4,0
吹出口の長さはどれくらいですか,4,2
吹出口の重さはどのくらいですか,4,1
吸込口はいつ届きますか,2,3
吸込口の値段はいくらですか,2,0
吸込口のサイズはどれくらいですか,2,2
吸込口の重さは何キロですか,2,1
ユニバーサルグリルの納期はいつですか,0,3
ユニバーサルグリルの料金はいくらですか,0,0
ユニバーサルグリルの長さはどれくらいですか,0,2
ユニバーサルグリルの重さはどれくらいですか,0,1
スリットグリルの納品はいつですか,5,3
スリットグリルの価格はいくらですか,5,0
スリットグリルの長さはどれくらいですか,5,2
スリットグリルの重さは何キロですか,5,1
シーリングディフューザーの納期はいつですか,3,3
シーリングディフューザーの料金はいくらですか,3,0
シーリングディフューザーの長さはどのくらいですか,3,2
シーリングディフューザーの重さはどれくらいですか,3,1
ノズルはいつ届きますか,6,3
ノズルの値段はいくらですか,6,0
ノズルのサイズはどれくらいですか,6,2
ノズルの重さは何キロですか,6,1
ラインディフューザーの納期はいつですか,7,3
ラインディフューザーの料金はいくらですか,7,0
ラインディフューザーの長さはどれくらいですか,7,2
ラインディフューザーの重さはどのくらいですか,7,1
ガラリの納品はいつですか,1,3
ガラリの価格はいくらですか,1,0
ガラリの長さはどれくらいですか,1,2
ガラリの重さはどのくらいですか,1,1
エアフィルターの納期はいつですか,8,3
エアフィルターの料金はいくらですか,8,0
エアフィルターの長さはどれくらいですか,8,2
エアフィルターの重さは何キロですか,8,1
防火ダンパーの納期はいつですか,9,3
防火ダンパーの料金はいくらですか,9,0
防火ダンパーの長さはどれくらいですか,9,2
防火ダンパーの重さはどれくらいですか,9,1
一般ダンパーはいつ届きますか,10,3
一般ダンパーの値段はいくらですか,10,0
一般ダンパーのサイズはどれくらいですか,10,2
一般ダンパーの重さは何キロですか,10,1
排煙口の納品はいつですか,11,3
排煙口の価格はいくらですか,11,0
排煙口の長さはどれくらいですか,11,2
排煙口の重さは何キロですか,11,1
フィルターケーシングの納期はいつですか,12,3
フィルターケーシングの料金はいくらですか,12,0
フィルターケーシングの長さはどのくらいですか,12,2
フィルターケーシングの重さは何キロですか,12,1
吹出口の納品日はいつですか,4,3
吹出口の費用はいくらかかりますか,4,0
吹出口の全長を教えてください,4,2
吹出口の重さはどのくらいですか,4,1
吸込口はいつ手に入りますか,2,3
吸込口の価格はどのくらいですか,2,0
吸込口の長さはどのくらいありますか,2,2
吸込口の重さは何キログラムですか,2,1
ユニバーサルグリルの納期を教えてください,0,3
ユニバーサルグリルの値段はいくらかかりますか,0,0
ユニバーサルグリルの長さはどれくらいですか,0,2
ユニバーサルグリルの重量を教えてください,0,1
スリットグリルの納品予定日はいつですか,5,3
スリットグリルの費用はいくらですか,5,0
スリットグリルのサイズを教えてください,5,2
スリットグリルの重さはどのくらいありますか,5,1
シーリングディフューザーの納品時期はいつですか,3,3
シーリングディフューザーの価格はいくらですか,3,0
シーリングディフューザーの全長を教えてください,3,2
シーリングディフューザーの重さを教えてください,3,1
ノズルの納品はいつになりますか,6,3
ノズルの値段はいくらですか,6,0
ノズルの長さはどれくらいですか,6,2
ノズルの重さはどのくらいですか,6,1
ラインディフューザーの納品はいつですか,7,3
ラインディフューザーの価格はいくらですか,7,0
ラインディフューザーのサイズはどのくらいですか,7,2
ラインディフューザーの重さはどれくらいですか,7,1
ガラリの納品予定日はいつですか,1,3
ガラリの費用はいくらですか,1,0
ガラリの長さはどのくらいありますか,1,2
ガラリの重量はどのくらいですか,1,1
エアフィルターの納期を教えてください,8,3
エアフィルターの値段はいくらですか,8,0
エアフィルターの全長を教えてください,8,2
エアフィルターの重さはどのくらいですか,8,1
ダンパーの納品はいつですか,13,3
ダンパーの価格はいくらですか,13,0
ダンパーのサイズを教えてください,13,2
ダンパーの重量はどのくらいですか,13,1
排煙口の納品時期はいつですか,11,3
排煙口の値段はいくらですか,11,0
排煙口の長さを教えてください,11,2
排煙口の重さはどのくらいですか,11,1
フィルターケーシングの納品はいつですか,12,3
フィルターケーシングの価格を教えてください,12,0
フィルターケーシングの全長はどれくらいですか,12,2
フィルターケーシングの重さは何キロですか,12,1
防火ダンパーの納品はいつですか,9,3
防火ダンパーの価格はいくらですか,9,0
防火ダンパーのサイズはどれくらいですか,9,2
防火ダンパーの重さはどのくらいですか,9,1
一般ダンパーの納品はいつですか,10,3
一般ダンパーの値段を教えてください,10,0
一般ダンパーの長さを教えてください,10,2
一般ダンパーの重さはどのくらいですか,10,1
排煙口の納品予定日はいつですか,11,3
排煙口の費用はいくらですか,11,0
排煙口の長さはどれくらいですか,11,2
排煙口の重さはどのくらいですか,11,1
フィルターケーシングの納品日はいつですか,12,3
フィルターケーシングの費用はいくらですか,12,0
フィルターケーシングの全長はどれくらいですか,12,2
フィルターケーシングの重さはどれくらいですか,12,1
吹出口はいつ納品されますか,4,3
吹出口の価格はどれくらいですか,4,0
吹出口の長さは何センチですか,4,2
吹出口の重さはどの程度ですか,4,1
吸込口の納品日はいつですか,2,3
吸込口の費用はいくらになりますか,2,0
吸込口の長さを教えてもらえますか,2,2
吸込口の重さはどれくらいですか,2,1
ユニバーサルグリルはいつ手に入りますか,0,3
ユニバーサルグリルの値段を教えてください,0,0
ユニバーサルグリルの長さはどれくらいありますか,0,2
ユニバーサルグリルの重量はどのくらいですか,0,1
スリットグリルの納期はいつですか,5,3
スリットグリルの価格を教えてもらえますか,5,0
スリットグリルのサイズを教えてください,5,2
スリットグリルの重さは何キログラムですか,5,1
シーリングディフューザーはいつ納品されますか,3,3
シーリングディフューザーの費用はいくらですか,3,0
シーリングディフューザーの全長はどのくらいですか,3,2
シーリングディフューザーの重さはどれくらいありますか,3,1
ノズルの納品はいつになりますか,6,3
ノズルの値段はいくらかかりますか,6,0
ノズルの長さはどれくらいですか,6,2
ノズルの重量はどのくらいですか,6,1
ラインディフューザーの納品予定日はいつですか,7,3
ラインディフューザーの価格はいくらかかりますか,7,0
ラインディフューザーの長さはどのくらいですか,7,2
ラインディフューザーの重さはどれくらいですか,7,1
ガラリの納品時期はいつですか,1,3
ガラリの費用はいくらですか,1,0
ガラリの長さはどれくらいありますか,1,2
ガラリの重量はどのくらいですか,1,1
エアフィルターはいつ手に入りますか,8,3
エアフィルターの値段を教えてもらえますか,8,0
エアフィルターの長さはどのくらいありますか,8,2
エアフィルターの重さを教えてください,8,1
ダンパーの納品日はいつですか,13,3
ダンパーの費用を教えてください,13,0
ダンパーのサイズはどれくらいですか,13,2
ダンパーの重量はどのくらいですか,13,1
排煙口の納期はいつになりますか,11,3
排煙口の価格はいくらかかりますか,11,0
排煙口の長さは何センチですか,11,2
排煙口の重さを教えてください,11,1
フィルターケーシングの納品時期はいつですか,12,3
フィルターケーシングの値段はいくらかかりますか,12,0
フィルターケーシングの長さを教えてください,12,2
フィルターケーシングの重量はどのくらいですか,12,1
防火ダンパーはいつ納品されますか,9,3
防火ダンパーの費用はいくらかかりますか,9,0
防火ダンパーのサイズを教えてください,9,2
防火ダンパーの重さを教えてください,9,1
一般ダンパーの納品予定日はいつですか,10,3
一般ダンパーの価格を教えてください,10,0
一般ダンパーの長さはどのくらいですか,10,2
一般ダンパーの重量はどのくらいですか,10,1
排煙口の納品はいつですか,11,3
排煙口の費用を教えてください,11,0
排煙口の長さを教えてください,11,2
排煙口の重さはどれくらいですか,11,1
フィルターケーシングの納期を教えてください,12,3
フィルターケーシングの価格はいくらかかりますか,12,0
フィルターケーシングの全長はどれくらいですか,12,2
フィルターケーシングの重量はどれくらいありますか,12,1
ダンパーの納品はいつですか,13,3
ダンパーの価格はいくらですか,13,0
ダンパーの長さはどれくらいですか,13,2
ダンパーの重さはどのくらいですか,13,1
ダンパーの在庫ありますか,13,4
ダンパーはありますか,13,4
ダンパーは作れますか,13,4
ダンパーはできますか,13,4
排煙口の納品はいつですか,11,3
排煙口の価格はいくらですか,11,0
排煙口の長さはどれくらいですか,11,2
排煙口の重さはどのくらいですか,11,1
排煙口の在庫ありますか,11,4
排煙口はありますか,11,4
排煙口は作れますか,11,4
排煙口はできますか,11,4
フィルターケーシングの納品はいつですか,12,3
フィルターケーシングの価格はいくらですか,12,0
フィルターケーシングの長さはどれくらいですか,12,2
フィルターケーシングの重さはどのくらいですか,12,1
フィルターケーシングの在庫ありますか,12,4
フィルターケーシングはありますか,12,4
フィルターケーシングは作れますか,12,4
フィルターケーシングはできますか,12,4
吹出口の納品はいつですか,4,3
吹出口の価格はいくらですか,4,0
吹出口の長さはどれくらいですか,4,2
吹出口の重さはどのくらいですか,4,1
吹出口の在庫ありますか,4,4
吹出口はありますか,4,4
吹出口は作れますか,4,4
吹出口はできますか,4,4
吸込口はいつ届きますか,2,3
吸込口の値段はいくらですか,2,0
吸込口のサイズはどれくらいですか,2,2
吸込口の重さは何キロですか,2,1
吸込口の在庫ありますか,2,4
吸込口はありますか,2,4
吸込口は作れますか,2,4
吸込口はできますか,2,4
ユニバーサルグリルの納期はいつですか,0,3
ユニバーサルグリルの料金はいくらですか,0,0
ユニバーサルグリルの長さはどれくらいですか,0,2
ユニバーサルグリルの重さはどれくらいですか,0,1
ユニバーサルグリルの在庫ありますか,0,4
ユニバーサルグリルはありますか,0,4
ユニバーサルグリルは作れますか,0,4
ユニバーサルグリルはできますか,0,4
スリットグリルの納品はいつですか,5,3
スリットグリルの価格はいくらですか,5,0
スリットグリルの長さはどれくらいですか,5,2
スリットグリルの重さは何キロですか,5,1
スリットグリルの在庫ありますか,5,4
スリットグリルはありますか,5,4
スリットグリルは作れますか,5,4
スリットグリルはできますか,5,4
シーリングディフューザーの納期はいつですか,3,3
シーリングディフューザーの料金はいくらですか,3,0
シーリングディフューザーの長さはどのくらいですか,3,2
シーリングディフューザーの重さはどれくらいですか,3,1
シーリングディフューザーの在庫ありますか,3,4
シーリングディフューザーはありますか,3,4
シーリングディフューザーは作れますか,3,4
シーリングディフューザーはできますか,3,4
ノズルはいつ届きますか,6,3
ノズルの値段はいくらですか,6,0
ノズルのサイズはどれくらいですか,6,2
ノズルの重さは何キロですか,6,1
ノズルの在庫ありますか,6,4
ノズルはありますか,6,4
ノズルは作れますか,6,4
ノズルはできますか,6,4
ラインディフューザーの納期はいつですか,7,3
ラインディフューザーの料金はいくらですか,7,0
ラインディフューザーの長さはどれくらいですか,7,2
ラインディフューザーの重さはどのくらいですか,7,1
ラインディフューザーの在庫ありますか,7,4
ラインディフューザーはありますか,7,4
ラインディフューザーは作れますか,7,4
ラインディフューザーはできますか,7,4
ガラリの納品はいつですか,1,3
ガラリの価格はいくらですか,1,0
ガラリの長さはどれくらいですか,1,2
ガラリの重さはどのくらいですか,1,1
ガラリの在庫ありますか,1,4
ガラリはありますか,1,4
ガラリは作れますか,1,4
ガラリはできますか,1,4
エアフィルターの納期はいつですか,8,3
エアフィルターの料金はいくらですか,8,0
エアフィルターの長さはどれくらいですか,8,2
エアフィルターの重さは何キロですか,8,1
エアフィルターの在庫ありますか,8,4
エアフィルターはありますか,8,4
エアフィルターは作れますか,8,4
エアフィルターはできますか,8,4
防火ダンパーの納期はいつですか,9,3
防火ダンパーの料金はいくらですか,9,0
防火ダンパーの長さはどれくらいですか,9,2
防火ダンパーの重さはどれくらいですか,9,1
防火ダンパーの在庫ありますか,9,4
防火ダンパーはありますか,9,4
防火ダンパーは作れますか,9,4
防火ダンパーはできますか,9,4
ノズルの値段はいくらですか？,6,0
ノズルの価格はいくらですか？,6,0
このノズルの値段はいくらですか？,6,0
ノズルの値段はどのくらいですか？,6,0
ノズルの価格はおいくらですか？,6,0
ノズルの値段が知りたいですか？,6,0
このノズルの価格はどの程度ですか？,6,0
ノズルの値段はいくらぐらいですか？,6,0
ノズルの価格を教えてくださいか？,6,0
ノズルの値段をお知らせいただけますか？,6,0
